CIDADE;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
JAPERI;-22.6431;-43.6533;Baixada Fluminense;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;10
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;10
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;10
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;10
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;9
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;9
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;9
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;9
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;9
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;9
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;8
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;8
MAGE;-22.6556;-43.0402;Baixada Fluminense;8
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;8
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;8
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;8
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;8
MAGE;-22.6556;-43.0402;Baixada Fluminense;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;8
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;8
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;8
JAPERI;-22.6431;-43.6533;Baixada Fluminense;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;8
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;8
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;7
